act-name,see,aka
"Legislative Branch Appropriations Act, 1988	",,
"Legislative Branch Appropriations Act, 1989	",,
"Legislative Branch Appropriations Act, 1990	",,
"Legislative Branch Appropriations Act, 1991	",,
"Legislative Branch Appropriations Act, 1992	",,
"Legislative Branch Appropriations Act, 1993	",,
"Legislative Branch Appropriations Act, 1994	",,
"Legislative Branch Appropriations Act, 1995	",,
"Legislative Branch Appropriations Act, 1996	",,
"Legislative Branch Appropriations Act, 1997	",,
"Legislative Branch Appropriations Act, 1998	",,
"Legislative Branch Appropriations Act, 1999	",,
"Legislative Branch Appropriations Act, 2000	",,
"Legislative Branch Appropriations Act, 2001	",,
"Legislative Branch Appropriations Act, 2002	",,
"Legislative Branch Appropriations Act, 2003	",,
"Legislative Branch Appropriations Act, 2004	",,
"Legislative Branch Appropriations Act, 2005	",,
"Legislative Branch Appropriations Act, 2006	",,
"Legislative Branch Appropriations Act, 2008	",,
"Legislative Branch Appropriations Act, 2009	",,
"Legislative Branch Appropriations Act, 2010	",,
"Legislative Branch Appropriations Act, 2012	",,
"Legislative Branch Supplemental Appropriations Act, 1999	",,
"Legislative Pay Act of 1929	",,
"Legislative Reorganization Act of 1946	",,
"Legislative Reorganization Act of 1970	",,
"Legislative, Executive, and Judicial Appropriation Act July 11 1888, fiscal year 1889 ",,
"Legislative-Judiciary Appropriation Act, 1954	",,
"Legislative-Judiciary Appropriation Act, 1955	",,
"Leif Ericson Millennium Commemorative Coin Act	",,
"Lemon Law	","See Magnuson-Moss Warranty--Federal Trade Commission Improvement Act	",
"Lend-Lease Act	","See Act to Promote the Defense of the United States	",
"Leprosy Act	",,
"Lesinski Pension Increase Act	",,
"Let Our Veterans Rest in Peace Act of 2008	",,
Lever Act (Food and Fuel Control) ,,
"Lewis and Clark Commemorative Coin Correction Act	",,
"Lewis and Clark Expedition Bicentennial Commemorative Coin Act	",,
"Lewis and Clark National Historical Park Designation Act	",,
"Lewis and Clark Rural Water System Act of 2000	",,
"Liability Risk Retention Act of 1986	",,
"Liberty Coin Act	",,
"Liberty Memorial Act of 1993	",,
"Library of Congress Bicentennial Commemorative Coin Act of 1998	",,
"Library of Congress Digital Collections and Educational Curricula Act of 2005	",,
"Library of Congress Fiscal Operations Improvement Act of 2000	",,
"Library of Congress Inspector General Act of 2005	",,
"Library of Congress Police Act	",,
"Library of Congress Sound Recording and Film Preservation Programs Reauthorization Act of 2008	",,
"Library of Congress Trust Fund Board Act	",,
"Library Services Act	","Renamed Library Services and Construction Act	",
"Library Services and Construction Act Amendments of 1966	",,
"Library Services and Construction Act Amendments of 1977	",,
"Library Services and Construction Act Amendments of 1984	",,
"Library Services and Construction Act Amendments of 1990	",,
"Library Services and Construction Act	",,
"Library Services and Construction Amendments of 1970	",,
Library Services and Technology Act,,
"Libyan Claims Resolution Act	",,
"Liens on Vessels Act	",,
Lieu Lands Act (Forest Reservations) ,,
Lieu Lands Act (Indian Reservations) ,,
Lieu Lands Act (Northern Pacific Railroad) ,,
"Lieutenant General Act	",,
"LIFE Act Amendments of 2000	",,
"LIFE Act	",,"Also known as the Legal Immigration Family Equity Act	"
"Life Insurance Act	",,
"Life Insurance Company Income Tax Act of 1959	",,
"Life Insurance Company Tax Act for 1955	",,
"Life-Saving Service Act	",,
"Lifespan Respite Care Act of 2006	",,
"Lilly Ledbetter Fair Pay Act of 2009	",,
"Lime Research, Promotion, and Consumer Information Act of 1990 ",,
"Lime Research, Promotion, and Consumer Information Improvement Act ",,
"Limitation of Armament Resolution	","See Disarmament Conference Resolution	",
"Limited Partnership Rollup Reform Act of 1993	",,
"Lincoln County Conservation, Recreation, and Development Act of 2004 ",,
"Lincoln County Land Act of 2000	",,
"Lincoln County, Montana, Lands Transfer Act of 1994 ",,
"Lincoln Highway Study Act of 2000	",,
"Lindbergh Kidnapping Act	","See Kidnapping Act	",
"Line Item Veto Act of 1996	",,
"Line Item Veto Act	",,
"Linthicum-Moses Act	","See Foreign Service Act	",
"Liquor Administration Act	","See Federal Alcohol Administration Act	",
"Liquor Enforcement Act of 1936	",,
"Liquor Law Repeal and Enforcement Act	",,
"Liquor Tax Administration Act	",,
"Liquor Taxing Act of 1934	",,
"Literacy Involves Families Together Act	",,
"Little Cigar Act of 1973	",,
"Little River Canyon National Preserve Act of 1992	",,
"Little Rock Central High School Desegregation 50th Anniversary Commemorative Coin Act	",,
"Little Traverse Bay Bands of Odawa Indians and the Little River Band of Ottawa Indians Act	",,
"Livable Cities Act of 1978	",,
"Live Stock Transportation Act	",,"Also known as the Cruelty to Animals Act the Food and Rest Law, and the Twenty-Eight Hour Law"
"Live-Stock Bankruptcy Act	",,
"Livestock Fraud Protection Act	",,
"Livestock Mandatory Reporting Act of 1999	",,
"Living Equitably: Grandparents Aiding Children and Youth Act of 2003	",,"Also known as the LEGACY Act of 2003	"
"Lloyd-La Follette Act	",,
"Load Line Act	",,
"Lobbying Disclosure Act of 1995	",,
"Lobbying Disclosure Technical Amendments Act of 1998	",,
"Local Community Radio Act of 2010	",,
"Local Community Recovery Act of 2006	",,
"Local Government Antitrust Act of 1984	",,
"Local Government Fiscal Assistance Amendments of 1983	",,
"Local Preparedness Acquisition Act	",,
"Local Public Works Capital Development and Investment Act of 1976	",,
"Local Rail Service Assistance Act of 1978	",,
"Local Rail Service Reauthorizing Act	",,
"Locomotive Inspection Act	",,
Lodge Act (Consular Reorganization) ,,
Lodge Act (Philippine Organic Act) ,"See Philippine Organic Act of 1902	",
Logan Act (Foreign Relations) ,,
"Long Island Sound Improvement Act of 1990	",,
"Long Island Sound Restoration Act	",,
"Long Island Sound Stewardship Act of 2006	",,
"Long Walk National Historic Trail Study Act	",,
"Longevity Pay Act	",,
"Longfellow House-Washington's Headquarters National Historic Site Designation Act	",,
"Longline Catcher Processor Subsector Single Fishery Cooperative Act	",,
"Longshore and Harbor Workers' Compensation Act Amendments of 1984	",,
"Longshore and Harbor Workers' Compensation Act	",,
"Longshoremen's and Harbor Workers' Compensation Act Amendments of 1972	",,
"Long-Term Care Security Act	",,
"Lord's Resistance Army Disarmament and Northern Uganda Recovery Act of 2009	",,
"Lorton Technical Corrections Act of 1998	",,
"Los Padres Condor Range and River Protection Act	",,
Lost Bond Act,,
Lost Property Act (Military Service) ,,
"Louis Braille Bicentennial--Braille Literacy Commemorative Coin Act	",,
"Lowden Act (Purchase of Embassy Buildings, etc.) ",,
"Lower Brule Sioux Tribe Infrastructure Development Trust Fund Act	",,
"Lower Colorado River Basin Project Act	","See Colorado River Basin Project Act	",
"Lower Colorado Water Supply Act	",,
"Lower Delaware Wild and Scenic Rivers Act	",,
"Lower Farmington River and Salmon Brook Wild and Scenic River Study Act of 2005	",,
"Lower Mississippi Delta Development Act	",,
"Lower Rio Grande Valley Water Resources Conservation and Improvement Act of 2000	",,
"Lower Rio Grande Valley Water Resources Conservation and Improvement Act of 2002	",,
"Lower Saint Croix River Act of 1972	",,
"Low-Income Home Energy Assistance Act of 1981	",,
"Low-Income Home Energy Assistance Amendments of 1994	",,
"Low-Income Home Energy Assistance Amendments of 1998	",,
"Low-Income Housing Preservation and Resident Homeownership Act of 1990	",,
"Low-Level Radioactive Waste Policy Act	",,
"Low-Level Radioactive Waste Policy Amendments Act of 1985	",,
"Low-Rent Housing Act	","See United States Housing Act of 1937	",
"Lucas Act	",,
"Luce Patent Act	",,
"Lupus Research and Care Amendments of 2000	",,
"Macon's Law	",,
"Madrid Protocol Implementation Act	",,
"Magistrates' Retirement Parity Act of 1987	",,
"Magnetic Fusion Energy Engineering Act of 1980	",,
"Magnuson Fishery Conservation and Management Act	","Renamed Magnuson-Stevens Fishery Conservation and Management Act	",
"Magnuson-Moss Warranty--Federal Trade Commission Improvement Act	",,
"Magnuson-Stevens Fishery Conservation and Management Act	",,
"Magnuson-Stevens Fishery Conservation and Management Reauthorization Act of 2006	",,
Mahaffie Act,,
"Mail Fraud Act	",,
"Mail Order Consumer Protection Amendments of 1983	",,
"Mail Order Drug Paraphernalia Control Act	",,
"Maine Acadian Culture Preservation Act	",,
"Maine Indian Claims Settlement Act of 1980	",,
"Maine Wilderness Act of 1990	",,
Major Crimes Act (Indians) ,"See Indian Major Crimes Act	",
"Major Fraud Act Amendments of 1989	",,
"Major Fraud Act of 1988	",,
"Malcolm Baldrige National Quality Improvement Act of 1987	",,
"Mammography Quality Standards Act of 1992	",,
"Mammography Quality Standards Reauthorization Act of 1998	",,
"Mammography Quality Standards Reauthorization Act of 2004	",,
"Management Interlocks Revision Act of 1988	",,
"Manassas National Battlefield Park Amendments of 1980	",,
"Manassas National Battlefield Park Amendments of 1988	",,
"Mancos Project Private Power Development Authorization Act of 1994	",,
"Mandamus Act	",,
"Mandatory Detention for Offenders Convicted of Serious Crimes Act	",,
"Mandatory Price Reporting Act of 2010	",,
"Mandatory Victims Restitution Act of 1996	",,
Manderson Act (Printing and Binding) ,,
"Manhattan Project National Historical Park Study Act	",,
"Mann Act	","See White-slave Traffic Act	",
"Mann-Elkins Act	",,
"Manpower Act of 1965	",,
"Man-Power Act	",,
"Manpower Development and Training Act of 1962	",,
"Manpower Development and Training Amendments of 1966	",,
"Manufactured Housing Improvement Act of 2000	",,
"Marihuana and Health Reporting Act	",,
"Marihuana Tax Act of 1937	",,
"Marine and Hydrokinetic Renewable Energy Research and Development Act	",,
"Marine Corps 230th Anniversary Commemorative Coin Act	",,
"Marine Corps Personnel Act	",,
"Marine Debris Research, Prevention, and Reduction Act ",,
Marine Insurance Act (District of Columbia) ,,
"Marine Mammal Health and Stranding Response Act	",,
"Marine Mammal Protection Act Amendments of 1988	",,
"Marine Mammal Protection Act Amendments of 1994	",,
"Marine Mammal Protection Act of 1972	",,
"Marine Mammal Rescue Assistance Act of 2000	",,
"Marine Mineral Resources Research Act of 1996	",,
"Marine Plastic Pollution Research and Control Act of 1987	",,
"Marine Protection, Research, and Sanctuaries Act of 1972 ",,
"Marine Resources and Engineering Development Act of 1966	",,
"Marine Sanctuaries Amendments of 1984	",,
"Marine Science, Technology, and Policy Development Act of 1987 ",,
"Marine Turtle Conservation Act of 2004	",,
"Marine War-Risk Insurance Act	","See Merchant Marine Act 1936	",
"Marion National Fish Hatchery and Claude Harris National Aquacultural Research Center Conveyance Act	",,
"Maritime Academy Act of 1958	",,
"Maritime Act of 1981	",,
"Maritime Administration Authorization Act for Fiscal Year 2000	",,
"Maritime Appropriation Authorization Act for Fiscal Year 1978	",,
"Maritime Appropriation Authorization Act for Fiscal Year 1979	",,
"Maritime Appropriation Authorization Act for Fiscal Year 1981	",,
"Maritime Appropriation Authorization Act for Fiscal Year 1985	",,
"Maritime Appropriation Authorization Act of 1975	",,
"Maritime Appropriation Authorization Act of Fiscal Year 1977	",,
"Maritime Drug Law Enforcement Act	",,
"Maritime Drug Law Enforcement Prosecution Improvements Act of 1986	",,
"Maritime Education and Training Act of 1980	",,
"Maritime Labor Agreements Act of 1980	",,
"Maritime Policy Improvement Act of 2002	",,
"Maritime Pollution Prevention Act of 2008	",,
"Maritime Safety Act of 1984	",,
"Maritime Safety Act of 2010	",,
"Maritime Security Act of 1996	",,
"Maritime Security Act of 2003	",,
"Maritime Transportation Security Act of 2002	",,
"Marjory Stoneman Douglas Wilderness and Ernest F. Coe Visitor Center Designation Act	",,
"Market Reform Act of 1990	",,
"Marketing Quotas Act	","See Agricultural Adjustment Act of 1938	",
"Mark-to-Market Extension Act of 2001	",,
"Married Women's Citizenship Act	",,
Married Women's Rights Act (District of Columbia) ,,
"Marshall Plan	","See Foreign Assistance Act of 1948	",
"Marsh-Billings National Historical Park Establishment Act	","Renamed Marsh-Billings-Rockefeller National Historical Park Establishment Act	",
"Marsh-Billings-Rockefeller National Historical Park Establishment Act	",,
"Martin Luther King, Jr., Federal Holiday Commission Extension Act ",,
"Martin Luther King, Junior, National Historic Site Land Exchange Act ",,
"Mashantucket Pequot Indian Claims Settlement Act	",,
"Masha's Law	",,
"Massachusetts Bay Protection Act of 1988	",,
"Material Support to Terrorism Prohibition Enhancement Act of 2004	",,
"Materials Act of 1947	",,
"Maternal and Child Health and Mental Retardation Planning Amendments of 1963	",,
"Maternal and Child Health Services Block Grant Act	",,
"Maternity Act	",,
"Matthew Shepard and James Byrd, Jr. Hate Crimes Prevention Act ",,
"May Army Officer Strength Act	",,
"May Defense Expediting Act	",,
"Mayfield Act	",,
"McCarran Act	","See Internal Security Act of 1950	",
"McCarran Amendment (Department of Justice Appropriation Act, 1953) ",,
"McCarran-Ferguson Act	",,
"McCarran-Lea Civil Aeronautics Authority Act	","See Civil Aeronautics Act of 1938	",
"McCarran-Walter Act	","See Immigration and Nationality Act	",
McCormick Act (Budget) ,"See Budget and Accounting Act 1921	",
McCreary Act (Chinese Exclusion) ,,
McCumber Act (Pensions) ,,
McCumber Act (Transportation),,
"McDuffie-Tydings Act of 1934	","See Philippine Independence Act	",
McFadden Act (Branch Banks) ,,
"McFadden-Pepper Act	",See McFadden Act (Branch Banks) ,
"McGillicuddy Act	",See Federal Employees' Compensation Act (1916) ,
"McGregor Act	","See Lanham Public War Housing Act	",
"McGuire Bill	",,
"McInnis Canyons National Conservation Area and Black Ridge Canyons Wilderness Act of 2000	",,
"McIntire-Stennis Act of 1962	",,"Also known as the McIntire-Stennis Cooperative Forestry Act	"
"McIntire-Stennis Cooperative Forestry Act	",,"Also known as the McIntire-Stennis Act of 1962	"
"McKellar-Mead 40-Hour Mail Act	",,
McKeown Act (Corporate Bankruptcy) ,,
McKinley Act (Tariff) ,,
"McKinney Act	","See McKinney-Vento Homeless Assistance Act	",
"McKinney-Vento Homeless Assistance Act	",,
"McKinney-Vento Homeless Education Assistance Improvements Act of 2001	",,
"McLoughlin House Addition to Fort Vancouver National Historic Site Act	",,
"McMahon Atomic Energy Act	","See Atomic Energy Act of 1954	",
"McNamara-O'Hara Service Contract Act	","See Service Contract Act of 1965	",
McNary-Mapes Amendment (Pure Foods) ,,
"McSweeney-McNary Act	","See Forest Products Act	",
"MD-CARE Act	",,"Also known as the Muscular Dystrophy Community Assistance, Research and Education Amendments of 2001 "
"Mead Air Mail Extension Act	",,
"Mead Two-Cent Postal Rate Act	",,
"Meat Import Act of 1979	",,
"Meat Inspection Act	","See Federal Meat Inspection Act	",
"Medal of Honor Commemorative Coin Act of 2009	",,
Medals of Honor Act (Railroads and Motor Vehicles) ,,
Medicaid Act,,
"Medicaid Voluntary Contribution and Provider-Specific Tax Amendments of 1991	",,
"Medical Care Expense Recovery Act	","See Federal Medical Care Recovery Act	",
"Medical Care Recovery Act	","See Federal Medical Care Recovery Act	",
"Medical Device Amendments of 1976	",,
"Medical Device Amendments of 1992	",,
"Medical Device User Fee Amendments of 2007	",,
"Medical Device User Fee and Modernization Act of 2002	",,
"Medical Device User Fee Stabilization Act of 2005	",,
"Medical Devices Technical Corrections Act	",,
"Medical Facilities Construction and Modernization Amendments of 1970	",,
"Medical Facilities Survey and Construction Act of 1954	",,
"Medical Library Assistance Act of 1965	",,
"Medical Library Assistance Extension Act of 1970	",,
"Medical Malpractice Immunity Act	",,
"Medical Waste Tracking Act of 1988	",,
Medicare Act,,
"Medicare and Medicaid Amendments of 1980	",,
"Medicare and Medicaid Amendments of 1981	",,
"Medicare and Medicaid Budget Reconciliation Amendments of 1984	",,
"Medicare and Medicaid Budget Reconciliation Amendments of 1985	",,
"Medicare and Medicaid Extenders Act of 2010	",,
"Medicare and Medicaid Patient and Program Protection Act of 1987	",,
"Medicare Catastrophic Coverage Act of 1988	",,
"Medicare Catastrophic Coverage Repeal Act of 1989	",,
"Medicare Improvements and Extension Act of 2006	",,
"Medicare Improvements for Patients and Providers Act of 2008	",,
"Medicare Prescription Drug, Improvement, and Modernization Act of 2003 ",,
"Medicare, Medicaid, and SCHIP Balanced Budget Refinement Act of 1999",,
"Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000 ",,
"Medicare, Medicaid, and SCHIP Extension Act of 2007 ",,
"Medicare-Medicaid Anti-Fraud and Abuse Amendments	",,
"Medicine Equity and Drug Safety Act of 2000	",,
"Megan's Law	",,
"Mellon Art Gallery Act	",,
"Membrane Processes Research Act of 1992	",,
"Menominee Restoration Act	",,
"Mental Health Amendments of 1967	",,
"Mental Health Amendments of 1990	",,
"Mental Health Parity Act of 1996	",,
"Mental Health Parity Reauthorization Act of 2002	",,
"Mental Health Parity Reauthorization Act of 2003	",,
"Mental Health Study Act of 1955	",,
"Mental Health Systems Act	",,
"Mental Retardation Amendments of 1967	",,
"Mental Retardation Facilities and Community Mental Health Centers Construction Act Amendments of 1965	",,
"Mental Retardation Facilities Construction Act	",,
"Mentally Ill Offender Treatment and Crime Reduction Act of 2004	",,
"Mentally Ill Offender Treatment and Crime Reduction Reauthorization and Improvement Act of 2008	",,
"Mentoring Matches for Youth Act of 2006	",,
"Merchant Marine Act, 1920	",,
"Merchant Marine Act, 1928	",,
"Merchant Marine Act, 1936	",,
"Merchant Marine Act of 1970	",,
"Merchant Marine Decorations and Medals Act	",,
"Merchant Marine Emergency Act	",,
"Merchant Mariner Memorial Act of 1990	",,
"Merchant Ship Priorities Act	",,
"Merchant Ship Sales Act of 1946	",,
"Mercury Export Ban Act of 2008	",,
"Mercury-Containing and Rechargeable Battery Management Act	",,
"Mercury-Containing Battery Management Act	",,
"Merrimack River Study Act of 1990	",,
"Mesquite Lands Act of 1988	",,
"Metacomet-Monadnock-Mattabesett Trail Study Act of 2002	",,
"Methamphetamine Anti-Proliferation Act of 2000	",,
"Methamphetamine Production Prevention Act of 2008	",,
"Methamphetamine Remediation Research Act of 2007	",,
"Methamphetamine Trafficking Penalty Enhancement Act of 1998	",,
"Methane Hydrate Research and Development Act of 2000	",,
"Methane Transportation Research Development, and Demonstration Act of 1980 ",,
"Metlakatla Indian Community Enrollment Act of 1980	",,
"Metric Conversion Act of 1975	",,
Metric Education Act of 1978,,
"Metric System Act	",,
"Metropolitan Washington Airports Act Amendments of 1991	",,
"Metropolitan Washington Airports Act of 1986	",,
"Metropolitan Washington Airports Amendments Act of 1996	",,
"Metropolitan Washington Waste Management Study Act	",,
"Mexican Agricultural Workers Importation Act	",,
"Mexican Border Act	",,
"Mexican Debt Disclosure Act of 1995	",,
"Mexican War Act	",,
"Mexico-United States Interparliamentary Group Act	",,
"Miami Dade College Land Conveyance Act	",,
"Miccosukee Reserved Area Act	",,
"Miccosukee Settlement Act of 1997	",,
"Michelle's Law	",,
"Michigan Indian Land Claims Settlement Act	",,
"Michigan Lighthouse and Maritime Heritage Act	",,
"Michigan Public Lands Improvement Act of 1988	",,
"Michigan Public Lands Improvement Act of 1990	",,
"Michigan Scenic Rivers Act of 1991	",,
"Michigan Wilderness Act of 1987	",,
"Mickey Leland Childhood Hunger Relief Act	",,
"Mickey Leland Food for Peace Act	",,
"Mickey Leland Memorial Domestic Hunger Relief Act	",,
"Microenterprise for Self-Reliance Act of 2000	",,
"Microenterprise for Self-Reliance and International Anti-Corruption Act of 2000	",,
"Microenterprise Results and Accountability Act of 2004	",,
"Microlending Expansion Act of 1992	",,
"Microloan Program Technical Corrections Act of 1999	",,
"Micronesian Claims Act of 1971	",,
"Mid-Dakota Rural Water System Act of 1992	",,
"Middle East Peace and Stability Act	",,
"Middle East Peace Commitments Act of 2002	",,
"Middle East Peace Facilitation Act of 1993	",,
"Middle East Peace Facilitation Act of 1994	",,
"Middle East Peace Facilitation Act of 1995	",,
"Middle Income Student Assistance Act	",,
"Midnight Basketball League Training and Partnership Act	",,
"Midshipmen Increase Act	",,
"Migrant and Community Health Centers Amendments of 1978	",,
"Migrant and Seasonal Agricultural Worker Protection Act	",,
"Migrant Health Act	",,
"Migration and Refugee Assistance Act of 1962	",,
"Migratory Bird Conservation Act	",,
"Migratory Bird Hunting and Conservation Stamp Act	",,
"Migratory Bird Hunting and Conservation Stamp Promotion Act	",,
"Migratory Bird Hunting Stamp Act	","Renamed Migratory Bird Hunting and Conservation Stamp Act	",
"Migratory Bird Treaty Act	",,
"Migratory Bird Treaty Reform Act of 1998	",,
"Migratory Bird Treaty Reform Act of 2004	",,
"Mike Mansfield Fellowship Act	",,
"Miles Land Exchange Act of 1998	",,
"Military and Overseas Voter Empowerment Act	",,
"Military Appropriation Act, 1938	",,
"Military Appropriation Act, 1939	",,
"Military Appropriation Act, 1940",,
"Military Appropriation Act, 1941	",,
"Military Appropriation Act, 1942	",,
"Military Appropriation Act, 1943	",,
"Military Appropriation Act, 1944	",,
"Military Appropriation Act, 1945	",,
"Military Appropriation Act, 1946	",,
"Military Appropriation Act, 1947	",,
"Military Appropriation Act, 1948	",,
Military Cargo Preference Act of 1904,,
"Military Child Care Act of 1989	",,
"Military Commissions Act of 2006	",,
"Military Commissions Act of 2009	",,
"Military Construction Act of 1958	",,
"Military Construction Act of 1959	",,
"Military Construction Act of 1960	",,
"Military Construction Act of 1961	",,
"Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2008	",,
"Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2009	",,
"Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2010	",,
"Military Construction and Veterans Affairs, and Related Agencies Appropriations Act, 2012 ",,
"Military Construction Appropriation Act, 1960	",,
"Military Construction Appropriation Act, 1961	",,
"Military Construction Appropriation Act, 1962	",,
"Military Construction Appropriation Act, 1963	",,
"Military Construction Appropriation Act, 1964	",,
"Military Construction Appropriation Act, 1965	",,
"Military Construction Appropriation Act, 1966	",,
"Military Construction Appropriation Act, 1967	",,
"Military Construction Appropriation Act, 1968	",,
"Military Construction Appropriation Act, 1969	",,
"Military Construction Appropriation Act, 1970	",,
"Military Construction Appropriation Act, 1971	",,
"Military Construction Appropriation Act, 1972	",,
"Military Construction Appropriation Act, 1973	",,
"Military Construction Appropriation Act, 1974	",,
"Military Construction Appropriation Act, 1975	",,
"Military Construction Appropriation Act, 1976	",,
"Military Construction Appropriation Act, 1977	",,
"Military Construction Appropriation Act, 1978	",,
"Military Construction Appropriation Act, 1979	",,
"Military Construction Appropriation Act, 1980	",,
"Military Construction Appropriation Act, 1981	",,
"Military Construction Appropriation Act, 1982	",,
"Military Construction Appropriation Act, 1983	",,
"Military Construction Appropriation Act, 2003	",,
"Military Construction Appropriation Act of 1959	",,
"Military Construction Appropriations Act, 1984	",,
"Military Construction Appropriations Act, 1985	",,
"Military Construction Appropriations Act, 1986	",,
"Military Construction Appropriations Act, 1987	",,
"Military Construction Appropriations Act, 1988	",,
"Military Construction Appropriations Act, 1989	",,
"Military Construction Appropriations Act, 1990	",,
"Military Construction Appropriations Act, 1991	",,
"Military Construction Appropriations Act, 1992	",,
"Military Construction Appropriations Act, 1993	",,
"Military Construction Appropriations Act, 1994	",,
"Military Construction Appropriations Act, 1995	",,
"Military Construction Appropriations Act, 1996	",,
"Military Construction Appropriations Act, 1997	",,
"Military Construction Appropriations Act, 1998	",,
"Military Construction Appropriations Act, 1999	",,
"Military Construction Appropriations Act, 2000	",,
"Military Construction Appropriations Act, 2001	",,
"Military Construction Appropriations Act, 2002	",,
"Military Construction Appropriations Act, 2004	",,
"Military Construction Appropriations Act, 2005	",,
"Military Construction Appropriations and Emergency Hurricane Supplemental Appropriations Act, 2005	",,
"Military Construction Authorization Act, 1964	",,
"Military Construction Authorization Act, 1965	",,
"Military Construction Authorization Act, 1966	",,
"Military Construction Authorization Act, 1967	",,
"Military Construction Authorization Act, 1968	",,
"Military Construction Authorization Act, 1969	",,
"Military Construction Authorization Act, 1970	",,
"Military Construction Authorization Act, 1971	",,
"Military Construction Authorization Act, 1972	",,
"Military Construction Authorization Act, 1973	",,
"Military Construction Authorization Act, 1974	",,
"Military Construction Authorization Act, 1975	",,
"Military Construction Authorization Act, 1976	",,
"Military Construction Authorization Act, 1977	",,
"Military Construction Authorization Act, 1978	",,
"Military Construction Authorization Act, 1979	",,
"Military Construction Authorization Act, 1980	",,
"Military Construction Authorization Act, 1981	",,
"Military Construction Authorization Act, 1982	",,
"Military Construction Authorization Act, 1983	",,
"Military Construction Authorization Act, 1984	",,
"Military Construction Authorization Act, 1985	",,
"Military Construction Authorization Act, 1986	",,
"Military Construction Authorization Act, 1987	",,
"Military Construction Authorization Act, 1988 and 1989	",,
"Military Construction Authorization Act, 1989	",,
"Military Construction Authorization Act for Fiscal Year 1991	",,
"Military Construction Authorization Act for Fiscal Year 1992	",,
"Military Construction Authorization Act for Fiscal Year 1993	",,
"Military Construction Authorization Act for Fiscal Year 1994	",,
"Military Construction Authorization Act for Fiscal Year 1995	",,
"Military Construction Authorization Act for Fiscal Year 1996	",,
"Military Construction Authorization Act for Fiscal Year 1997	",,
"Military Construction Authorization Act for Fiscal Year 1998	",,
"Military Construction Authorization Act for Fiscal Year 1999	",,
"Military Construction Authorization Act for Fiscal Year 2000	",,
"Military Construction Authorization Act for Fiscal Year 2001	",,
"Military Construction Authorization Act for Fiscal Year 2002	",,
"Military Construction Authorization Act for Fiscal Year 2003	",,
"Military Construction Authorization Act for Fiscal Year 2004	",,
"Military Construction Authorization Act for Fiscal Year 2005	",,
"Military Construction Authorization Act for Fiscal Year 2006	",,
"Military Construction Authorization Act for Fiscal Year 2007	",,
"Military Construction Authorization Act for Fiscal Year 2008	",,
"Military Construction Authorization Act for Fiscal Year 2009	",,
"Military Construction Authorization Act for Fiscal Year 2010	",,
"Military Construction Authorization Act for Fiscal Year 2011	",,
"Military Construction Authorization Act for Fiscal Year 2012	",,
"Military Construction Authorization Act for Fiscal Years 1990 and 1991	",,
"Military Construction Codification Act	",,
"Military Construction, Military Quality of Life and Veterans Affairs Appropriations Act, 2006 ",,
"Military Extraterritorial Jurisdiction Act of 2000	",,
"Military Family Act of 1985	",,
"Military Family Tax Relief Act of 2003	",,
"Military Force Structure Review Act of 1996	",,
"Military Functions Appropriation Act, 1949	",,
"Military Health Care Amendments of 1987	",,
"Military Housing Assistance Act of 1995	",,
"Military Justice Act of 1968	",,
"Military Justice Act of 1983	",,
"Military Justice Amendments of 1981	",,
"Military Justice Amendments of 1986	",,
"Military Justice Amendments of 1995	",,
"Military Lands Withdrawal Act of 1986	",,
"Military Lands Withdrawal Act of 1999	",,
"Military Medical Benefits Amendments of 1966	",,
"Military Pay and Allowances Benefits Act of 1980	",,
"Military Personnel and Civilian Employees' Claims Act of 1964	",,
"Military Personnel and Compensation Amendments of 1980	",,
"Military Personnel Citizenship Processing Act	",,
"Military Personnel Claims Act of 1945	",,
"Military Personnel Financial Services Protection Act	",,
"Military Quality of Life and Veterans Affairs Appropriations Act, 2006	","Renamed Military Construction, Military Quality of Life and Veterans Affairs Appropriations Act 2006 ",
"Military Reservation Act	",,
"Military Reservist and Veteran Small Business Reauthorization and Opportunity Act of 2008	",,
"Military Retirement Reform Act of 1986	",,
"Military Secretary Act	",,
"Military Selective Service Act of 1967	","Renamed Military Selective Service Act	",
"Military Selective Service Act	",,
"Military Spouses Residency Relief Act	",,
"Military Survivor Benefits Improvement Act of 1989	",,
"Militia Act of 1903	",,
"Milk Importation Act	","See Import Milk Act	",
"Milk Regulatory Equity Act of 2005	",,
"Millennium Challenge Act of 2003	",,
"Miller Act	",,
"Miller-Tydings Fair Trade Act	","See Fair Trade Act	",
Mills Act (Customs Reorganization) ,,
Millspaugh Act (D.C. Banks),,
"Milwaukee Railroad Restructuring Act	",,
"Mine Dewatering Act	","See Anthracite Mine Water Control Act	",
"Mine Improvement and New Emergency Response Act of 2006	",,"Also known as the MINER Act	"
"MINER Act	",,"Also known as the Mine Improvement and New Emergency Response Act of 2006	"
"Mineral Land Free Timber Act	",,
"Mineral Lands Leasing Act	","See Mineral Leasing Act	",
"Mineral Leasing Act for Acquired Lands	",,
"Mineral Leasing Act of 1920	","See Mineral Leasing Act	",
"Mineral Leasing Act Revision of 1960	",,
"Mineral Leasing Act	",,
